id,title,price,price_per_m2,location,district,area,bedrooms,property_type,condition,has_parking,has_garden,date_listed,date_scraped,days_listed,price_category,quality_score,features_score,value_score,market_type
174,Apartment 2P 126m² - Hammamet,185866,1475.13,Hammamet - Tunisia,Hammamet,126,2,Apartment,New,True,False,2026-09-08,2026-09-19,17,Premium,5,1,35.0,Coastal
175,Villa 3P 301m² - Kairouan,31167,103.54,Kairouan - Tunisia,Kairouan,301,3,Villa,Excellent,True,True,2026-08-02,2026-09-19,54,Budget,4,2,98.0,Rural
176,Villa 3P 157m² - Rades,172561,1099.11,Rades - Tunisia,Rades,157,3,Villa,Excellent,False,True,2026-09-15,2026-09-19,10,Premium,4,1,71.0,Rural
177,Apartment 1P 88m² - Nabeul,171784,1952.09,Nabeul - Tunisia,Nabeul,88,1,Apartment,Excellent,True,False,2026-09-17,2026-09-19,8,Premium,4,1,19.0,Coastal
178,Apartment 2P 52m² - Hammamet,97942,1883.5,Hammamet - Tunisia,Hammamet,52,2,Apartment,Excellent,True,False,2026-08-10,2026-09-19,46,Standard,4,1,20.0,Coastal
179,Apartment 2P 98m² - Monastir,123705,1262.3,Monastir - Tunisia,Monastir,98,2,Apartment,Good,False,False,2026-07-01,2026-09-19,86,Standard,3,0,45.0,Coastal
180,Villa 5P 371m² - Ariana,423474,1141.44,Ariana - Tunisia,Ariana,371,5,Villa,Good,True,False,2026-08-31,2026-09-19,25,Luxury,3,1,67.0,Rural
182,Apartment 2P 127m² - Monastir,158493,1247.98,Monastir - Tunisia,Monastir,127,2,Apartment,Good,True,False,2026-08-18,2026-09-19,38,Premium,3,1,48.0,Coastal
183,Villa 5P 430m² - Sousse Centre,959636,2231.71,Sousse Centre - Tunisia,Sousse Centre,430,5,Villa,Excellent,False,True,2026-09-14,2026-09-19,11,Ultra-Luxury,4,1,36.0,Urban
184,Villa 5P 159m² - Gafsa,112957,710.42,Gafsa - Tunisia,Gafsa,159,5,Villa,New,False,True,2026-07-04,2026-09-19,83,Standard,5,1,87.0,Rural
186,Apartment 3P 171m² - Ben Arous,198318,1159.75,Ben Arous - Tunisia,Ben Arous,171,3,Apartment,Excellent,True,False,2026-08-23,2026-09-19,33,Premium,4,1,55.0,Rural
187,Villa 3P 409m² - Gafsa,250183,611.69,Gafsa - Tunisia,Gafsa,409,3,Villa,Good,True,True,2026-07-15,2026-09-19,72,Luxury,3,2,91.0,Rural
188,Villa 3P 308m² - La Marsa,496598,1612.33,La Marsa - Tunisia,La Marsa,308,3,Villa,Excellent,False,False,2026-08-31,2026-09-19,25,Luxury,4,0,56.0,Coastal
189,Villa 3P 322m² - Ben Arous,247661,769.13,Ben Arous - Tunisia,Ben Arous,322,3,Villa,Good,False,True,2026-09-16,2026-09-19,9,Premium,3,1,80.0,Rural
190,Apartment 2P 43m² - Bizerte,40922,951.67,Bizerte - Tunisia,Bizerte,43,2,Apartment,Good,True,False,2026-06-22,2026-09-19,95,Budget,3,1,66.0,Coastal
191,Apartment 4P 100m² - Jendouba,97806,978.06,Jendouba - Tunisia,Jendouba,100,4,Apartment,Fair,True,False,2026-06-23,2026-09-19,94,Standard,2,1,63.0,Rural
192,Duplex 4P 233m² - Gafsa,167519,718.97,Gafsa - Tunisia,Gafsa,233,4,Duplex,Fair,True,False,2026-09-18,2026-09-19,7,Premium,2,1,68.0,Rural
193,Apartment 1P 43m² - Ben Arous,34774,808.7,Ben Arous - Tunisia,Ben Arous,43,1,Apartment,New,True,False,2026-09-14,2026-09-19,11,Budget,5,1,76.0,Rural
194,Apartment 1P 53m² - Sousse Centre,69136,1304.45,Sousse Centre - Tunisia,Sousse Centre,53,1,Apartment,Excellent,True,False,2026-08-31,2026-09-19,25,Budget,4,1,43.0,Urban
195,Apartment 2P 123m² - Ben Arous,30000,243.9,Ben Arous - Tunisia,Ben Arous,123,2,Apartment,Good,True,False,2026-08-29,2026-09-19,27,Budget,3,1,99.0,Rural
196,Duplex 2P 228m² - El Kef,276307,1211.87,El Kef - Tunisia,El Kef,228,2,Duplex,Fair,True,False,2026-09-18,2026-09-19,7,Luxury,2,1,45.0,Rural
197,Villa 3P 367m² - Rades,261650,712.94,Rades - Tunisia,Rades,367,3,Villa,Excellent,True,True,2026-09-12,2026-09-19,13,Luxury,4,2,84.0,Rural
198,Villa 4P 438m² - Sousse Centre,796422,1818.32,Sousse Centre - Tunisia,Sousse Centre,438,4,Villa,Good,False,True,2026-07-11,2026-09-19,76,Ultra-Luxury,3,1,49.0,Urban
199,Villa 4P 214m² - Djerba,576072,2691.93,Djerba - Tunisia,Djerba,214,4,Villa,New,True,True,2026-09-16,2026-09-19,9,Ultra-Luxury,5,2,20.0,Coastal
200,Apartment 2P 98m² - Hammamet,122693,1251.97,Hammamet - Tunisia,Hammamet,98,2,Apartment,Good,False,False,2026-09-06,2026-09-19,19,Standard,3,0,46.0,Coastal
